full_text,tokenized_text
anyonee   pernah apply ini semester mau semester kinda reply below pleasee mau nanya nanya,"['anyonee', 'apply', 'semester', 'semester', 'kinda', 'reply', 'below', 'pleasee', 'nanya', 'nanya']"
beli joder offline berasa diabsen deh,"['beli', 'joder', 'offline', 'berasa', 'diabsen', 'deh']"
info pacar anak ktt iiic,"['info', 'pacar', 'anak', 'ktt', 'iiic']"
  bawa almet tapi  kepake atau mau ke dan almetnya bs dipinjam tidak,"['bawa', 'almet', 'kepake', 'almetnya', 'bs', 'dipinjam']"
info kos  sekitar keputih or gebang or mulyos   ac nya  budget,"['info', 'kos', 'keputih', 'or', 'gebang', 'or', 'mulyos', 'ac', 'nya', 'budget']"
toko jasa benerin payung terdekat  dimana ,"['toko', 'jasa', 'benerin', 'payung', 'terdekat', 'dimana']"
es jagung udah buka taaa,"['es', 'jagung', 'udah', 'buka', 'taaa']"
info kost putri area gebang budget maks k  luar gapapa  penting  dapur bersama,"['info', 'kost', 'putri', 'area', 'gebang', 'budget', 'maks', 'k', 'gapapa', 'dapur']"
because you never learn a goddamn thing,"['because', 'you', 'never', 'learn', 'a', 'goddamn', 'thing']"
halo siangg,"['halo', 'siangg']"
pagi semuanya buat kalian  pengen icipicip sambal,"['pagi', 'pengen', 'icipicip', 'sambal']"
kalau mau ke upt bahasa lewat mana  guys,"['upt', 'bahasa', 'guys']"
halo teman   nyimpen rangkuman jadwal pendaftaran masuk its nggak ,"['halo', 'teman', 'nyimpen', 'rangkuman', 'jadwal', 'pendaftaran', 'masuk', 'its', 'nggak']"
maksudnya  its adain bukan kayak lima dll,"['maksudnya', 'its', 'adain', 'kayak', 'dll']"
wifi tw lagi trouble ,"['wifi', 'tw', 'trouble']"
  semester  rencana wisuda   apply msib batch tifak bisa gak ,"['semester', 'rencana', 'wisuda', 'apply', 'msib', 'batch', 'tifak', 'gak']"
aku mau magang ke satu perusahaan tapi,"['magang', 'perusahaan']"
yxg kuyy,"['yxg', 'kuyy']"
,[]
gais ingfo  jual bubur sumsum sekitaran  sender ngidam banget hiks,"['gais', 'ingfo', 'jual', 'bubur', 'sumsum', 'sekitaran', 'sender', 'ngidam', 'banget', 'hiks']"
  nonton niki gaa,"['nonton', 'niki', 'gaa']"
info  maling di keputih perintis ,"['info', 'maling', 'keputih', 'perintis']"
rekomen tempat bengong donkk,"['rekomen', 'bengong', 'donkk']"
,[]
maba endi seng kumpul angkatan ndek musholla gang makam,"['maba', 'endi', 'seng', 'kumpul', 'angkatan', 'ndek', 'musholla', 'gang', 'makam']"
kader kok bikin akademik jadi nomer kesekian,"['kader', 'bikin', 'akademik', 'nomer', 'kesekian']"
gelapgelapan di taman manarul,"['gelapgelapan', 'taman', 'manarul']"
  pake kacamata,"['pake', 'kacamata']"
  pernah begadang di luar sendirian gitu  kaya cafe atau ,"['begadang', 'gitu', 'kaya', 'cafe']"
beli turbin sama kak yayuk mutual linkedin yukkkk leave a trace then ill hit u up,"['beli', 'turbin', 'kak', 'yayuk', 'mutual', 'linkedin', 'yukkkk', 'leave', 'a', 'trace', 'then', 'ill', 'hit', 'u', 'up']"
,[]
 ini pancongnya bisa cashless    harus cash dan kira masi buka   jam segini,"['pancongnya', 'cashless', 'cash', 'masi', 'buka', 'jam', 'segini']"
  tau  hasil tes mbti ini pake tes ,"['tau', 'hasil', 'tes', 'mbti', 'pake', 'tes']"
minta tolong temen kalo nemu stnk plat s fp,"['tolong', 'temen', 'kalo', 'nemu', 'stnk', 'plat', 's', 'fp']"
  punya kalender akademik terkait libur semester,"['kalender', 'akademik', 'terkait', 'libur', 'semester']"
info kost  di perumdos  berac,"['info', 'kost', 'perumdos', 'berac']"
fomo nih ceritanya muehehehe jalan gebang putih,"['fomo', 'nih', 'ceritanya', 'muehehehe', 'jalan', 'gebang', 'putih']"
halo temen temen mahasiswa   minat di bisnis atau   udh punya rencana bisnis atau mau cobacoba ikut lomba bisnis,"['halo', 'temen', 'temen', 'mahasiswa', 'minat', 'bisnis', 'udh', 'rencana', 'bisnis', 'cobacoba', 'lomba', 'bisnis']"
  pernah kp di pertamina elnusa pengen tanya boleh,"['kp', 'pertamina', 'elnusa', 'pengen']"
kukira bau badan ternyata bau bau  sampai threshold,"['kukira', 'bau', 'badan', 'bau', 'bau', 'threshold']"
  mau ikut gemastik data mining gak btw sender lagi cari tim,"['gemastik', 'data', 'mining', 'gak', 'btw', 'sender', 'cari', 'tim']"
pengumuman jadwal kkn kira kapan    kira aja,"['pengumuman', 'jadwal', 'kkn', 'aja']"
organisasi sekolahrangking sekolah,"['organisasi', 'sekolahrangking', 'sekolah']"
haloo aku mau daftar mandiri jalur prestasi,"['haloo', 'daftar', 'mandiri', 'jalur', 'prestasi']"
,[]
penasaran deh tiap jadwal utbk itu kenapa di gate depan selalu   bagi bagi brosur itu brosur apaan ,"['penasaran', 'deh', 'jadwal', 'utbk', 'gate', 'brosur', 'brosur']"
buat  manis dtis akt nrp,"['manis', 'dtis', 'akt', 'nrp']"
aku tunggu kamu  disini,['tunggu']
info kkn  di   ,"['info', 'kkn']"
buat geofis akt nrp kepeseng,"['geofis', 'akt', 'nrp', 'kepeseng']"
lebih redflag mana  anak keputih,"['redflag', 'anak', 'keputih']"
weekend besok tgl mei produktif bareng sambil meronce yukk,"['weekend', 'besok', 'tgl', 'mei', 'produktif', 'bareng', 'meronce', 'yukk']"
info freelancer ,"['info', 'freelancer']"
kakak kating  manis apakah   punya kumpulan soal eas mat terimaaci,"['kakak', 'kating', 'manis', 'kumpulan', 'eas', 'mat', 'terimaaci']"
rekom cafe  enak buat belajar ,"['rekom', 'cafe', 'enak', 'belajar']"
saran tempat garap proposal ta  enak ,"['saran', 'garap', 'proposal', 'ta', 'enak']"
info mandi bola,"['info', 'mandi', 'bola']"
helpppppp bangettt aku trauma sama temen sekamarr infoo kost putri   dapur bersama sama kulkas bersama areaa keputihh under k pliss gomawoo,"['helpppppp', 'bangettt', 'trauma', 'temen', 'sekamarr', 'infoo', 'kost', 'putri', 'dapur', 'kulkas', 'areaa', 'keputihh', 'under', 'k', 'pliss', 'gomawoo']"
tempat donasi baju dimana  lemari sender penuh banget,"['donasi', 'baju', 'dimana', 'lemari', 'sender', 'penuh', 'banget']"
info di its gak    kayak perlombaan antar kampus besaran gitu dibidang olahraga contohnya,"['info', 'its', 'gak', 'kayak', 'perlombaan', 'kampus', 'besaran', 'gitu', 'dibidang', 'olahraga', 'contohnya']"
,[]
email its bisa buat canva premium  ,"['email', 'its', 'canva', 'premium']"
sotong tahu bulat depan sakinah buka jamberapa  ,"['sotong', 'bulat', 'sakinah', 'buka', 'jamberapa']"
aula asrama rame bngt ,"['aula', 'asrama', 'rame', 'bngt']"
info pacar anak puker,"['info', 'pacar', 'anak', 'puker']"
info pacar anak perumdos blok j,"['info', 'pacar', 'anak', 'perumdos', 'blok', 'j']"
 rekomendasiiin case hape  gak bkin hape gampang overheat  makasihh,"['rekomendasiiin', 'case', 'hape', 'gak', 'bkin', 'hape', 'gampang', 'overheat', 'makasihh']"
kating depart lain kating depart sendiri,"['kating', 'depart', 'kating', 'depart']"
info pacar anak kost nurii,"['info', 'pacar', 'anak', 'kost', 'nurii']"
  minat beli ipad gakk,"['minat', 'beli', 'ipad', 'gakk']"
infoin kos    kamar kosong  mbakk,"['infoin', 'kos', 'kamar', 'kosong', 'mbakk']"
  mo daftar msib batch  aku mau nanya nanyaaaa,"['mo', 'daftar', 'msib', 'batch', 'nanya', 'nanyaaaa']"
guys fotocopyan  bisa jilid hardcover selain  di gebang depan warteg dmn lagi ,"['guys', 'fotocopyan', 'jilid', 'hardcover', 'gebang', 'warteg', 'dmn']"
 info dokter gigi sekitar its ,"['info', 'dokter', 'gigi', 'its']"
cantik bgt,"['cantik', 'bgt']"
minta tips and trick ngedeketin  pwk ,"['tips', 'and', 'trick', 'ngedeketin', 'pwk']"
j one buka  rekkk,"['j', 'one', 'buka', 'rekkk']"
pantun dika bukan sulap bukan sihir  panas bat njiiir,"['pantun', 'dika', 'sulap', 'sihir', 'panas', 'bat', 'njiiir']"
tolong rekomendasi rice cooker awets,"['tolong', 'rekomendasi', 'rice', 'cooker', 'awets']"
info cara ngehilangin baret halus kyk gini ,"['info', 'ngehilangin', 'baret', 'halus', 'kyk', 'gini']"
,[]
cuci sepatu  anter jemput,"['cuci', 'sepatu', 'anter', 'jemput']"
ingfo  jualan nasi uduk sekitar its ,"['ingfo', 'jualan', 'nasi', 'uduk', 'its']"
tangga dan juni apakah libur yaa,"['tangga', 'juni', 'libur', 'yaa']"
rekkk jangan lupa ngevote yaaa,"['rekkk', 'lupa', 'ngevote', 'yaaa']"
info servis kalkulator ganti baterai dmn  ,"['info', 'servis', 'kalkulator', 'ganti', 'baterai', 'dmn']"
krn kartu atm aku lg ngambek,"['krn', 'kartu', 'atm', 'lg', 'ngambek']"
risol mayo gebang drasha samping kalimosodo biasanya buka jam berapa ,"['risol', 'mayo', 'gebang', 'drasha', 'samping', 'kalimosodo', 'buka', 'jam']"
berapa ips tertinggi dan terendah  kalian dapetin di its,"['ips', 'tertinggi', 'terendah', 'dapetin', 'its']"
info kos harian  buat orang di sekitar  murah buat hari,"['info', 'kos', 'harian', 'orang', 'murah']"
info kost perumdos buat   bersih  ,"['info', 'kost', 'perumdos', 'bersih']"
,[]
the process may not be as smooth as youve always imagined,"['the', 'process', 'may', 'not', 'be', 'as', 'smooth', 'as', 'youve', 'always', 'imagined']"
kinda wanna disappear for awhile,"['kinda', 'wan', 'na', 'disappear', 'for', 'awhile']"
guys minta gambar sinchan untuk dijadikan wallpaper terima kasih,"['guys', 'gambar', 'sinchan', 'dijadikan', 'wallpaper', 'terima', 'kasih']"
confess atau pendem,"['confess', 'pendem']"
dana jt,"['dana', 'jt']"
info ayang   ,"['info', 'ayang']"
 kenapa   unair tuh rata lebih cantik dari ,"['unair', 'tuh', 'cantik']"
maaf  oot,"['maaf', 'oot']"
jangan lupa nyoblos presbem rekkk,"['lupa', 'nyoblos', 'presbem', 'rekkk']"
butuh pacar segera,"['butuh', 'pacar']"
kiri vs kanan,"['kiri', 'vs', 'kanan']"
infoooo   tauuu,"['infoooo', 'tauuu']"
  tau gak yaa takoyaki  di gebang tutup jam berapa,"['tau', 'gak', 'yaa', 'takoyaki', 'gebang', 'tutup', 'jam']"
infoin kontrakan  sekitar its  sm fasilitasnya,"['infoin', 'kontrakan', 'its', 'sm', 'fasilitasnya']"
tutor masuk ke second account   tertutup parah ,"['tutor', 'masuk', 'second', 'account', 'tertutup', 'parah']"
infoooo  open jastip makanannn sekitar keputih gebang juseyoo,"['infoooo', 'open', 'jastip', 'makanannn', 'keputih', 'gebang', 'juseyoo']"
tc nrp cakep banget,"['tc', 'nrp', 'cakep', 'banget']"
bagi  menemukan stnk hilang plat nomor l wk bisa hub no,"['menemukan', 'stnk', 'hilang', 'plat', 'nomor', 'l', 'wk', 'hub', 'no']"
tower sains pas utbk boleh dimasuki mahasiswa  ,"['tower', 'sains', 'pas', 'utbk', 'dimasuki', 'mahasiswa']"
gimana cara belajar buat paper ,"['gimana', 'belajar', 'paper']"
lagi pengen ayam saus gt dimana  kalo keputih saus bbq cheese teriyaki atau apapun itu,"['pengen', 'ayam', 'saus', 'gt', 'dimana', 'kalo', 'keputih', 'saus', 'bbq', 'cheese', 'teriyaki', 'apapun']"
kue pancong dulu ges,"['kue', 'pancong', 'ges']"
 kepo bisa cek ig himastaits yaa,"['kepo', 'cek', 'ig', 'himastaits', 'yaa']"
info tukang jahit daerah keputih atau gebang olis,"['info', 'tukang', 'jahit', 'daerah', 'keputih', 'gebang', 'olis']"
info akun ig ukm its  feednya bagus ,"['info', 'akun', 'ig', 'ukm', 'its', 'feednya', 'bagus']"
dimohon masmbakrek jika   menemukan bisa kontak nomor di sini yaa,"['dimohon', 'masmbakrek', 'menemukan', 'kontak', 'nomor', 'yaa']"
serius nanya,"['serius', 'nanya']"
,[]
ini nilai boleh pasrah ke dosen kahh,"['nilai', 'pasrah', 'dosen', 'kahh']"
mesin jika menemukan bisa hubungi kehilangan kira kira di jalan depan pens,"['mesin', 'menemukan', 'hubungi', 'kehilangan', 'jalan', 'pens']"
bagi mahasiswa seluruh surabay dan keluarga mahasiswa mohon bantuannya jika menemukan dompet hitam kulit bukan merk ini tapi bentuknya persis kayak gini,"['mahasiswa', 'surabay', 'keluarga', 'mahasiswa', 'mohon', 'bantuannya', 'menemukan', 'dompet', 'hitam', 'kulit', 'merk', 'bentuknya', 'persis', 'kayak', 'gini']"
 jual mochi sekitar dimana yaa,"['jual', 'mochi', 'dimana', 'yaa']"
sender bm korean fried chicken ky gini,"['sender', 'bm', 'korean', 'fried', 'chicken', 'ky', 'gini']"
info oprec ,"['info', 'oprec']"
debat capresbem gada livenya kah,"['debat', 'capresbem', 'gada', 'livenya', 'kah']"
rekomendasi mam siang  mulai bosen sama  itu aja,"['rekomendasi', 'mam', 'siang', 'bosen', 'aja']"
emang kalo kita pusing krn fokus kuliah dan beneran fokusnya akademik itu se salah itu kah dibarengi organisasi tp  over,"['emang', 'kalo', 'pusing', 'krn', 'fokus', 'kuliah', 'beneran', 'fokusnya', 'akademik', 'salah', 'kah', 'dibarengi', 'organisasi', 'tp', 'over']"
  pnya nmrkontak tempat fcprint mitra abadi di gebang    boleh di share ke sender fd sender ketinggalan disana soalnya tiaa,"['pnya', 'nmrkontak', 'fcprint', 'mitra', 'abadi', 'gebang', 'share', 'sender', 'fd', 'sender', 'ketinggalan', 'disana', 'tiaa']"
eas itu sebenarnya fimulai tanggal atau  tia,"['eas', 'fimulai', 'tanggal', 'tia']"
  tau  ini kenapa  bisa login,"['tau', 'login']"
ini gedungnya sebelah mana  ,"['gedungnya', 'sebelah']"
servis laptop di geeko gebang worth it   kalo ngga,"['servis', 'laptop', 'geeko', 'gebang', 'worth', 'it', 'kalo', 'ngga']"
info kosan  daerah keputih,"['info', 'kosan', 'daerah', 'keputih']"
permisi masmbak   mtk nya diajar bu n u r ngga ,"['permisi', 'masmbak', 'mtk', 'nya', 'diajar', 'bu', 'n', 'u', 'r', 'ngga']"
satu kata buat oknum,['oknum']
  apakah  rekomendasi padus atau solo buat event agama katolik terima kasih,"['rekomendasi', 'padus', 'solo', 'event', 'agama', 'katolik', 'terima', 'kasih']"
udah makan tadi pagi,"['udah', 'makan', 'pagi']"
selain kepanitiaan    bisa dilakuin aku bingung,"['kepanitiaan', 'dilakuin', 'bingung']"
   bisa dititipin mfs di sbyfess,"['dititipin', 'mfs', 'sbyfess']"
,[]
infoooo ccws buka gak ,"['infoooo', 'ccws', 'buka', 'gak']"
beli parfum bibit di   gabikin baju kuning dimana yh,"['beli', 'parfum', 'bibit', 'gabikin', 'baju', 'kuning', 'dimana', 'yh']"
info warnet plisssss laptop diservice mau pake komputer lt gabisaaa,"['info', 'warnet', 'plisssss', 'laptop', 'diservice', 'pake', 'komputer', 'lt', 'gabisaaa']"
halo mau tanyaa,"['halo', 'tanyaa']"
ccws buka  ,"['ccws', 'buka']"
hari ini pada libur atau kuliah online,"['libur', 'kuliah', 'online']"
info nomor isi ulang galon  bisa dianter ke kos,"['info', 'nomor', 'isi', 'ulang', 'galon', 'dianter', 'kos']"
ingfo    tahu  sari roti sekarang lokasinya dimana kok belum lewat kosku,"['ingfo', 'sari', 'roti', 'lokasinya', 'dimana', 'kosku']"
 hari ini perpus buka   sender pngen zoom di perpus,"['perpus', 'buka', 'sender', 'pngen', 'zoom', 'perpus']"
naik ojol dari stasiun ke its jam malem aman gak ,"['ojol', 'stasiun', 'its', 'jam', 'malem', 'aman', 'gak']"
ini randok bgt tapi serius mau tanya,"['randok', 'bgt', 'serius']"
kamu merasa disukai olehnya karena sikapnya  seolah olah menyukaimu padahal sebenarnya dia hanya menghargai perasaanmu,"['disukai', 'sikapnya', 'olah', 'menyukaimu', 'menghargai', 'perasaanmu']"
ketika lu confess dan ternyata dia suka lu juga,"['lu', 'confess', 'suka', 'lu']"
 tinggal di apartemen,"['tinggal', 'apartemen']"
 aku mau motoran ke terminal besok pagi jm aman   rute  aman lewat mana  makasii,"['motoran', 'terminal', 'besok', 'pagi', 'jm', 'aman', 'rute', 'aman', 'makasii']"
 jadi aku mau pindah kost,"['pindah', 'kost']"
waktu utbk ccws buka  ,"['utbk', 'ccws', 'buka']"
saran  jual bibit parfum ,"['saran', 'jual', 'bibit', 'parfum']"
surat keperluan buat daftar msib tuh disaranin pake ematerai  kalo iya cari ematerai tuh dapetinnyaa gimanaa spill  ges,"['surat', 'keperluan', 'daftar', 'msib', 'tuh', 'disaranin', 'pake', 'ematerai', 'kalo', 'iya', 'cari', 'ematerai', 'tuh', 'dapetinnyaa', 'gimanaa', 'spill', 'ges']"
rekomendasi stand laptop  bagus dan kuat dongg biar awet thank uu ,"['rekomendasi', 'stand', 'laptop', 'bagus', 'kuat', 'dongg', 'biar', 'awet', 'thank', 'uu']"
halo  kalo nemu kunci motor  gantungan ini disekitar manarulpascasarjana tolong dm ke hawskythorn makasih,"['halo', 'kalo', 'nemu', 'kunci', 'motor', 'gantungan', 'disekitar', 'manarulpascasarjana', 'tolong', 'dm', 'hawskythorn', 'makasih']"
mungkin terdengar lucu tapi kamu salah satu alasan ku untuk terus belajar dan rajin ke kampus karna aku tahu untuk mencari topik ngobrol denganmu aku butuh banyak referensi dan informasi,"['terdengar', 'lucu', 'salah', 'alasan', 'ku', 'belajar', 'rajin', 'kampus', 'karna', 'mencari', 'topik', 'ngobrol', 'denganmu', 'butuh', 'referensi', 'informasi']"
ayang i am done,"['ayang', 'i', 'am', 'done']"
diskusi malam,"['diskusi', 'malam']"
wtb tiket ekspectanica day  gais boleh festivalvip,"['wtb', 'tiket', 'ekspectanica', 'day', 'gais', 'festivalvip']"
ditemukan dompet di manarul,"['ditemukan', 'dompet', 'manarul']"
  tau  photo studio  jadinya cepet dan murah di deket,"['tau', 'photo', 'studio', 'cepet', 'murah', 'deket']"
bingung dan berharap  orang buat narik saya biar gak,"['bingung', 'berharap', 'orang', 'narik', 'biar', 'gak']"
,[]
mau rekomen salon potong rambut   oke di sekitaran its dongg,"['rekomen', 'salon', 'potong', 'rambut', 'oke', 'sekitaran', 'its', 'dongg']"
,[]
permisi semuaa,"['permisi', 'semuaa']"
wts tiket anesthesia k aja guys,"['wts', 'tiket', 'anesthesia', 'k', 'aja', 'guys']"
semangat praktikumnya buat   pake oren oren di jalanan desin despro tadi kamu kerennnn  hehe,"['semangat', 'praktikumnya', 'pake', 'oren', 'oren', 'jalanan', 'desin', 'despro', 'kerennnn', 'hehe']"
   mau bantu isi kuesioner buat tubes kah,"['bantu', 'isi', 'kuesioner', 'tubes', 'kah']"
cung  muak stuck di fase friendzone,"['cung', 'muak', 'stuck', 'fase', 'friendzone']"
masmba   tau tempat press mika ngga  bukan laminating makasih,"['masmba', 'tau', 'press', 'mika', 'ngga', 'laminating', 'makasih']"
  berminat tiket konba bronze buat jam nanti  kalau mau aku jual harga aja soalnya aku  bisa dateng karena  acara lainn,"['berminat', 'tiket', 'konba', 'bronze', 'jam', 'jual', 'harga', 'aja', 'dateng', 'acara', 'lainn']"
  punya catatan lengkap medan magnet sama ggl induksi gaa kalo adaa boleh di sharee yah makasih sebelumnyaa,"['catatan', 'lengkap', 'medan', 'magnet', 'ggl', 'induksi', 'gaa', 'kalo', 'adaa', 'sharee', 'yah', 'makasih', 'sebelumnyaa']"
cara pesen joder di tempat gimana sender selalu beli online,"['pesen', 'joder', 'gimana', 'sender', 'beli', 'online']"
 info tempat servis keyboard laptop  bagus dan buka hari minggu,"['info', 'servis', 'keyboard', 'laptop', 'bagus', 'buka', 'minggu']"
coba  anak expo speak up ,"['coba', 'anak', 'expo', 'speak', 'up']"
saran ide ngedate di dalem its,"['saran', 'ide', 'ngedate', 'dalem', 'its']"
 semua ormawa punya sistem buruk,"['ormawa', 'sistem', 'buruk']"
,[]
user jenius,"['user', 'jenius']"
info kosan    jendela langsung keluar ,"['info', 'kosan', 'jendela', 'langsung']"
depart mana aja di  punya lapangan futsal sndiri,"['depart', 'aja', 'lapangan', 'futsal', 'sndiri']"
info kost putri,"['info', 'kost', 'putri']"
nolak ajakan masuk ke sistem  korup dan bobrok,"['nolak', 'ajakan', 'masuk', 'sistem', 'korup', 'bobrok']"
buat adik maba dan temen  masih bingung nyari tempat di kampus its ini,"['adik', 'maba', 'temen', 'bingung', 'nyari', 'kampus', 'its']"
tulisan ini bagus banget buat menggambarkan kondisi  sekarang  isinya cuma biar kader golongannya redormek doang  pegang jabatan,"['tulisan', 'bagus', 'banget', 'menggambarkan', 'kondisi', 'isinya', 'biar', 'kader', 'golongannya', 'redormek', 'doang', 'pegang', 'jabatan']"
minimal kalo masukin ordal buat pegang tanggung jawab diliat kredibilitas sama tanggung jawabnya ,"['minimal', 'kalo', 'masukin', 'ordal', 'pegang', 'tanggung', 'diliat', 'kredibilitas', 'tanggung']"
guyss is there any of you whos planning on taking igip,"['guyss', 'is', 'there', 'any', 'of', 'you', 'whos', 'planning', 'on', 'taking', 'igip']"
  tau tempat jual tumpeng di sekitar its kah atau  rekomen tempat terimakasih sebelumnya,"['tau', 'jual', 'tumpeng', 'its', 'kah', 'rekomen', 'terimakasih']"
dibilang  its bubar aja dulu,"['dibilang', 'its', 'bubar', 'aja']"
maba bole ikut milih  ,"['maba', 'bole', 'milih']"
kebanjiran fakta,"['kebanjiran', 'fakta']"
unpopular opinion,"['unpopular', 'opinion']"
senin besok udah memasuki minggu perkuliahan ke berapa  sender bingung ngitungnya karna kebanyakan libur,"['senin', 'besok', 'udah', 'memasuki', 'minggu', 'perkuliahan', 'sender', 'bingung', 'ngitungnya', 'karna', 'kebanyakan', 'libur']"
 merasa jaket almamaternya jatuh,"['jaket', 'almamaternya', 'jatuh']"
wtb tiket tedx todayy  ,"['wtb', 'tiket', 'tedx', 'todayy']"
  main hayday ayo mutualan aku masih baru nih,"['main', 'hayday', 'ayo', 'mutualan', 'nih']"
kalo mau make lapangan departemen atau di weekend buat games fisik ringan gitu langsung aja atau  izinnya   kalo iya kemana,"['kalo', 'make', 'lapangan', 'departemen', 'weekend', 'games', 'fisik', 'ringan', 'gitu', 'langsung', 'aja', 'izinnya', 'kalo', 'iya', 'kemana']"
 tolong jawab cepat,"['tolong', 'cepat']"
  minat tiket konser psm its malem ini  yaa,"['minat', 'tiket', 'konser', 'psm', 'its', 'malem', 'yaa']"
 beli donat atau bomboloni minggu pagi gini deket its di mana ,"['beli', 'donat', 'bomboloni', 'minggu', 'pagi', 'gini', 'deket', 'its']"
pengguna the originote di guardian udh ready gais udh  po lagi,"['pengguna', 'the', 'originote', 'guardian', 'udh', 'ready', 'gais', 'udh', 'po']"
info kosan    cuci piring otomatisnya ,"['info', 'kosan', 'cuci', 'piring', 'otomatisnya']"
   minat tiket tedx gaa,"['minat', 'tiket', 'tedx', 'gaa']"
promo dijual r plat w tahun kondisi surat lengkap pajak panjang sehat service rutin part ori  ban belakang maxxis baru ganti sisanya sesuai difoto dijual karena udah mau lulus harga jt nego kontak  di comment,"['promo', 'dijual', 'r', 'plat', 'w', 'kondisi', 'surat', 'lengkap', 'pajak', 'sehat', 'service', 'rutin', 'part', 'ori', 'ban', 'maxxis', 'ganti', 'sisanya', 'sesuai', 'difoto', 'dijual', 'udah', 'lulus', 'harga', 'jt', 'nego', 'kontak', 'comment']"
jahim marun departemen manaa,"['jahim', 'marun', 'departemen', 'manaa']"
 minta tolong bantu isi surveinya kakak buat penelitian kami jika kamu seller atau buyer link nya nyusul bisa cek di reply ,"['tolong', 'bantu', 'isi', 'surveinya', 'kakak', 'penelitian', 'seller', 'buyer', 'link', 'nya', 'nyusul', 'cek', 'reply']"
   bersedia bantu ak isi kuesioner tentang support system perkuliahan  plss,"['bersedia', 'bantu', 'ak', 'isi', 'kuesioner', 'support', 'system', 'perkuliahan', 'plss']"
promo tau   kalo besok senin tu terpantau bmkg cuacanya panas bgt,"['promo', 'tau', 'kalo', 'besok', 'senin', 'tu', 'terpantau', 'bmkg', 'cuacanya', 'panas', 'bgt']"
   pernah nyoba magang sendiri gtu  kek pas liburan gtu kek bulan,"['nyoba', 'magang', 'gtu', 'kek', 'pas', 'liburan', 'gtu', 'kek']"
  mau ini  ceritanya sepasang sobat bestie ini lg belajar bikin kue buat doi kita,"['ceritanya', 'sepasang', 'sobat', 'bestie', 'lg', 'belajar', 'bikin', 'kue', 'doi']"
info warkoptempat makan  jam pake wifi,"['info', 'warkoptempat', 'makan', 'jam', 'pake', 'wifi']"
ayang xxxx kmarin lucu skalie heheheheh gmoyyzzz,"['ayang', 'xxxx', 'kmarin', 'lucu', 'skalie', 'heheheheh', 'gmoyyzzz']"
kenapa si cewek kalau diboncengin tuh maju bener dah,"['si', 'cewek', 'diboncengin', 'tuh', 'maju', 'bener', 'dah']"
hallo   apakah disini   ounya kumpulan soal eas matematika dan fisika tahun lalu,"['hallo', 'ounya', 'kumpulan', 'eas', 'matematika', 'fisika']"
ini tuh di tp berapa  trus mending  biasa atau dolby,"['tuh', 'tp', 'trus', 'mending', 'dolby']"
spill lippen favorit kalian ,"['spill', 'lippen', 'favorit']"
waduh  kembang api   diangkat kah,"['kembang', 'api', 'diangkat', 'kah']"
halo mahasiswa adakah  pernah membeli produk fashion pakaian,"['halo', 'mahasiswa', 'adakah', 'membeli', 'produk', 'fashion', 'pakaian']"
hii promo   minat serum elsheskin aku mau preloved  radiant skin serum,"['hii', 'promo', 'minat', 'serum', 'elsheskin', 'preloved', 'radiant', 'skin', 'serum']"
  tau beli tabung reaksi merk schott fiolax gak yaa,"['tau', 'beli', 'tabung', 'reaksi', 'merk', 'schott', 'fiolax', 'gak', 'yaa']"
saran cafe di   enak buat nugas,"['saran', 'cafe', 'enak', 'nugas']"
rekomin makanan di keputih  porsinya banyak,"['rekomin', 'makanan', 'keputih', 'porsinya']"
wtb tiket tedx besok,"['wtb', 'tiket', 'tedx', 'besok']"
what if gerigi ps nyolong di base sebelah,"['what', 'if', 'gerigi', 'ps', 'nyolong', 'base', 'sebelah']"
sunsetnya tadi cakep banget,"['sunsetnya', 'cakep', 'banget']"
boleh gak sih kalo ke optik cuma buat beli semprotan kacamatanya aja gapake cek mata,"['gak', 'sih', 'kalo', 'optik', 'beli', 'semprotan', 'kacamatanya', 'aja', 'gapake', 'cek', 'mata']"
rekomendasiin mall  bagus buat ajak jalan orang dari luar kota dooong,"['rekomendasiin', 'mall', 'bagus', 'ajak', 'jalan', 'orang', 'kota', 'dooong']"
kmart buka,"['kmart', 'buka']"
jurusan mewajibkan kp tapi tidak membantu mahasiswanya,"['jurusan', 'mewajibkan', 'kp', 'membantu', 'mahasiswanya']"
sepupuku dari daerah mau ke  untuk  pertama kalinya,"['sepupuku', 'daerah', 'kalinya']"
  anak statistika gaa gue mau bandingin rmse sama std deviasi itu boleh  rmse antara predicted sama actual value,"['anak', 'statistika', 'gaa', 'gue', 'bandingin', 'rmse', 'std', 'deviasi', 'rmse', 'predicted', 'actual', 'value']"
info kos putri  dalam area keputih perintis pliizz buat bulan agustus,"['info', 'kos', 'putri', 'area', 'keputih', 'perintis', 'pliizz', 'agustus']"
promo halo anak its unyukk stressball restock lagi yakin gamau nambah koleksi stressballmu yukk  bingung ngasi semangat buat  tersayang,"['promo', 'halo', 'anak', 'its', 'unyukk', 'stressball', 'restock', 'gamau', 'nambah', 'koleksi', 'stressballmu', 'yukk', 'bingung', 'ngasi', 'semangat', 'tersayang']"
after uap yuhuu,"['after', 'uap', 'yuhuu']"
  tau  daerah sini buat benerin keyboard laptop soalnya beberapa    muncul klo di pencet dan range harga nya brp  biasanya,"['tau', 'daerah', 'benerin', 'keyboard', 'laptop', 'muncul', 'klo', 'pencet', 'range', 'harga', 'nya', 'brp']"
