full_text,tokenized_text
 cara ngajuin banding ukt itu gimana yaa makasii  udah jawabb,"['ngajuin', 'banding', 'ukt', 'gimana', 'yaa', 'makasii', 'udah', 'jawabb']"
jangan lupa isi ipd ,"['lupa', 'isi', 'ipd']"
masmbak  rekomendasi kursus onlineoffline buat data science   makasih,"['masmbak', 'rekomendasi', 'kursus', 'onlineoffline', 'data', 'science', 'makasih']"
walahh baru tau rekkk,"['walahh', 'tau', 'rekkk']"
 mau tanya,[]
 suatu masalah  bikin aku gabisa buat magang disana,"['bikin', 'gabisa', 'magang', 'disana']"
 mau nanya misal minggu lalu aku udah ngajuin surat rekomendasi magang ke suatu kantor pemerintahan,"['nanya', 'minggu', 'udah', 'ngajuin', 'surat', 'rekomendasi', 'magang', 'kantor', 'pemerintahan']"
indonesia untuk bergabung di program pelatihan ai jobs info lebih lanjut pantengin instagram orbitfutureacademyid,"['indonesia', 'bergabung', 'program', 'pelatihan', 'ai', 'jobs', 'info', 'pantengin', 'instagram', 'orbitfutureacademyid']"
kalian penasaran gak sih sama cara kerja ai daripada bingung semester ini mau ngapain,"['penasaran', 'gak', 'sih', 'kerja', 'ai', 'bingung', 'semester', 'ngapain']"
  semigap dari ke its mau tanya terkait dokumen daftar ulang,"['semigap', 'its', 'terkait', 'dokumen', 'daftar', 'ulang']"
beli helm di sekitar its dimana yaaa,"['beli', 'helm', 'its', 'dimana', 'yaaa']"
j buka gaa,"['j', 'buka', 'gaa']"
sebulan k cukup nggak ,"['sebulan', 'k', 'nggak']"
gimana menurut kalian terhadap cowok  dulu pernah benci sama teman ceweknya,"['gimana', 'cowok', 'benci', 'teman', 'ceweknya']"
pap  punya foto opening its mart  ,"['pap', 'foto', 'opening', 'its', 'mart']"
 gak  nanti malem jam an bisa anjem dr gubeng ke keputih,"['gak', 'malem', 'jam', 'an', 'anjem', 'dr', 'gubeng', 'keputih']"
cara melaporkan dosen  terindikasi rasis gimana  atau melanggar kode etik dosen   tau step laporin nya,"['melaporkan', 'dosen', 'terindikasi', 'rasis', 'gimana', 'melanggar', 'kode', 'etik', 'dosen', 'tau', 'step', 'laporin', 'nya']"
sender mau pindah ke daerah wisper,"['sender', 'pindah', 'daerah', 'wisper']"
mengakar itu btw mf ini ttg kata pengakuan angkatan poin,"['mengakar', 'btw', 'mf', 'ttg', 'pengakuan', 'angkatan', 'poin']"
seterusnya dsisi lain dosen suka rela menyebut kt sbg angkatan k dsaat kader himpunan blm mulai sampe mikir lah sm kating gabole,"['dsisi', 'dosen', 'suka', 'rela', 'menyebut', 'kt', 'sbg', 'angkatan', 'k', 'dsaat', 'kader', 'himpunan', 'blm', 'sampe', 'mikir', 'sm', 'kating', 'gabole']"
utk adek tekkim amp selamat kalian sdh k amp k liat poin,"['utk', 'adek', 'tekkim', 'amp', 'selamat', 'sdh', 'k', 'amp', 'k', 'liat', 'poin']"
happy againn,"['happy', 'againn']"
studi independen orbit kampus telah dibuka orbit future academy mengajak kamu mahasiswai seluruh indonesia untuk bergabung di program pelatihan ai jobs info lebih lanjut pantengin instagram orbitfutureacademyid,"['studi', 'independen', 'orbit', 'kampus', 'dibuka', 'orbit', 'future', 'academy', 'mengajak', 'mahasiswai', 'indonesia', 'bergabung', 'program', 'pelatihan', 'ai', 'jobs', 'info', 'pantengin', 'instagram', 'orbitfutureacademyid']"
jangan lupa ngisi ipd rekkk,"['lupa', 'ngisi', 'ipd', 'rekkk']"
rame banget soal kader  siapapun  lg dikader,"['rame', 'banget', 'kader', 'lg', 'dikader']"
 pulang minggu pada pulang tanggal berapa,"['pulang', 'minggu', 'pulang', 'tanggal']"
nah opini kakak kakak paling senior gini  bikin males kader,"['opini', 'kakak', 'kakak', 'senior', 'gini', 'bikin', 'males', 'kader']"
misi   dan teman teman,"['misi', 'teman', 'teman']"
  mau ke st pasar turi pagi besok jam set  yaa sender mau cari temen buat ngegocar bareng krna bawa koper,"['st', 'pasar', 'turi', 'pagi', 'besok', 'jam', 'set', 'yaa', 'sender', 'cari', 'temen', 'ngegocar', 'bareng', 'krna', 'bawa', 'koper']"
mau tanya guys,['guys']
itu  sering kumpulkumpul duduk ngemper di parkiran robotikagorkmart itu acara  sih,"['kumpulkumpul', 'duduk', 'ngemper', 'parkiran', 'robotikagorkmart', 'acara', 'sih']"
kampus dan menjadi bekal mereka untuk pasca kuliah nanti,"['kampus', 'bekal', 'pasca', 'kuliah']"
internasional dapat adaptasi lebih cepat di its bisa lah ini dicontoh dalam kaderisasi mahasiswa baru nanti pesan untuk angkatan  akan mengkader mahasiswa baru,"['internasional', 'adaptasi', 'cepat', 'its', 'dicontoh', 'kaderisasi', 'mahasiswa', 'pesan', 'angkatan', 'mengkader', 'mahasiswa']"
lapangan sebagai perkenalan kota  dan lingkungan sekitar untuk mahasiswa internasional secara tidak langsung kegiatan ini bisa disebut sebagai kaderisasi untuk mahasiswa internasional dnegan tujuan pengenalan lingkungan di kampus dan  agar mahasiswa,"['lapangan', 'perkenalan', 'kota', 'lingkungan', 'mahasiswa', 'internasional', 'langsung', 'kegiatan', 'kaderisasi', 'mahasiswa', 'internasional', 'dnegan', 'tujuan', 'pengenalan', 'lingkungan', 'kampus', 'mahasiswa']"
untuk maba jawabannya adalah sop kaderisasi  jelas dulu dan  pengontrolnya jadi jelas langkahlangkahnya dan peraturan main kaderisasi ini ambil conntoh lah its global  menaungi mahasiswa internasional its global ini sering mengadakan kegiatan studi,"['maba', 'jawabannya', 'sop', 'kaderisasi', 'pengontrolnya', 'langkahlangkahnya', 'peraturan', 'main', 'kaderisasi', 'ambil', 'conntoh', 'its', 'global', 'menaungi', 'mahasiswa', 'internasional', 'its', 'global', 'mengadakan', 'kegiatan', 'studi']"
